"","clump 1","clump 2","clump 3","clump 4","clump 5","clump 6","clump 7","clump 8","clump 9","clump 10","clump 11","clump 12","clump 13","clump 14","clump 15","Total"
"Blondekrigged_pa.tif",0,0.02,0,0.01,0,0,0,0.11,0.07,0,0,0.02,0.04,0,0,0.28
"BullHusskrigged_pa.tif",0,0.02,0,0.01,0,0,0,0.02,0.18,0,0,0.05,0,0,0,0.28
"Circalittoral_coarse_sediment_1km.tif",0,0.1,0,0.13,0,0,0,0.07,0,0,0,0,0,0,0,0.3
"Circalittoral_mud_1km.tif",0,0,0,0.01,0,0,0,0.29,0,0,0,0,0,0,0,0.29
"Circalittoral_rock_and_biogenic_reef_1km.tif",0,0.04,0,0.13,0,0,0,0.11,0,0,0,0,0,0,0,0.28
"Circalittoral_sand_1km.tif",0,0.09,0,0.13,0,0,0,0.05,0,0,0,0,0,0,0,0.28
"cshas_forage_fish_4_and_up.tif",0,0.02,0,0.18,0,0,0,0.04,0.04,0,0,0,0,0,0,0.28
"Fronts_temp_1km.tif",0,0.26,0,0.1,0,0,0,0.21,0,0,0,0,0,0,0,0.56
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.22,0.05,0.08,0,0.08,0.1,0.05,0,0,0,0,0,0,0,0,0.58
"Infralittoral_coarse_sediment_1km.tif",0,0.05,0.05,0,0.19,0,0,0,0,0,0,0,0,0,0,0.29
"Infralittoral_mud_1km.tif",0,0,0.18,0,0.03,0.1,0,0,0,0,0,0,0,0,0,0.31
"Infralittoral_rock_and_biogenic_reef_1km.tif",0,0.24,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.28
"Infralittoral_sand_1km.tif",0,0.15,0.12,0,0.01,0,0,0,0,0,0,0,0,0,0,0.28
"juvenile_blue_skate.tif",0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.02,0,0.3
"kelp_pa_1km.tif",0,0.13,0.02,0,0,0,0,0.13,0,0,0,0,0,0,0,0.28
"mature_female_flappers.tif",0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.6
"MI_Herring_Spawning_Beds_percent_cover.tif",0,0.14,0,0.11,0,0,0,0.09,0,0,0,0,0,0,0,0.34
"observe_density_2021_2022_1km.tif",0,0.01,0,0.01,0,0,0,0.1,0.02,0,0.02,0.01,0.12,0,0,0.28
"OBSERVE_predicted_cetorhinus_maximus.tif",0,0.03,0,0.04,0,0,0,0.19,0,0,0,0,0,0,0,0.28
"Offshore_circalittoral_coarse_sediment_1km.tif",0,0.06,0,0.01,0,0,0,0.07,0.05,0,0.02,0.01,0.07,0,0,0.29
"Offshore_circalittoral_mixed_sediment_1km.tif",0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.97
"Offshore_circalittoral_mud_1km.tif",0,0,0,0,0,0,0,0.03,0,0.01,0.05,0.01,0.15,0.03,0,0.28
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0,0,0,0.05,0,0,0,0.41,0.01,0,0,0,0,0,0,0.47
"Offshore_circalittoral_sand_1km.tif",0,0.04,0,0,0,0,0,0.06,0.02,0,0,0.02,0.13,0,0,0.29
"RJF_occProb_Shagreen_ray.tif",0,0.02,0,0.01,0,0,0,0.04,0.02,0,0.01,0.02,0.16,0.01,0,0.28
"sabellaria_layer_binary_1km.tif",0,0.18,0,0,0,0.12,0,0.06,0,0,0,0,0,0.06,0,0.41
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.22,0.04,0.07,0,0.08,0.1,0.05,0,0,0,0,0,0,0,0,0.56
"sandeels_logged_buffered_1km.tif",0,0.02,0,0,0.02,0,0,0.18,0.04,0.01,0,0,0.02,0,0,0.29
"seapen_layer_binary_1km.tif",0,0.02,0,0.01,0,0,0,0.13,0.01,0,0,0.01,0.07,0.02,0.04,0.29
"Turbotkrigged_pa.tif",0,0,0,0.01,0,0,0,0.06,0.05,0,0.02,0.02,0.12,0,0,0.28
"UCD_OC_stock_kg_m2_upper10cm.tif",0,0.03,0,0.02,0,0,0,0.07,0.03,0,0.01,0.02,0.11,0,0,0.28
"UCD_Percentatge_OC_content_in_sediment.tif",0,0.03,0,0.02,0,0,0,0.07,0.03,0,0.01,0.02,0.11,0,0,0.28
"zostera_pa_1km.tif",0,0.17,0.03,0,0.02,0,0,0.07,0,0,0,0,0,0,0,0.29
